Currency Code,Country,Amount ($ 100 CAD),Path
ADA,Cardano,37.081858198201,CAD | BTC | NANO | ADA
ALGO,Algorand,43.31769766786765,CAD | BTC | NANO | ADA | ALGO
ARS,Argentina,7897.8842801275905,CAD | BRL | ARS
AUD,Australia,108.04261025401658,CAD | EUR | AUD
BAN,Banano,9010.142501202727,CAD | BTC | BAN
BCH,BitcoinCash,0.16596817358191138,CAD | BTC | NANO | ADA | ALGO | BCH
BRL,Brazil,415.8512316412757,CAD | BRL
BTC,Bitcoin,0.0018117357936179323,CAD | BTC
BZD,Belize,159.74710847706837,CAD | EUR | BZD
CHF,Switzerland,76.66733247171365,CAD | EUR | GBP | NOK | SEK | CHF
CNY,China,516.607633164509,CAD | USD | CNY
DOGE,Dogecoin,368.99812450392074,CAD | BTC | NANO | DOGE
DZD,Algeria,11059.548298322608,CAD | USD | SAR | LRD | DZD
ETH,Ethereum,0.02565098029879007,CAD | BTC | ETH
EUR,Euro,67.01811728487557,CAD | EUR
GBP,Great Britain,57.31313949393705,CAD | EUR | GBP
HKD,Hong Kong,625.3590583359613,CAD | USD | CNY | HKD
INR,India,5930.843122873521,CAD | USD | CNY | HKD | INR
JPY,Japan,8828.116339328692,CAD | USD | JPY
KRW,South Korea,95023.84121374773,CAD | USD | CNY | HKD | PHP | KRW
KYD,Cayman Islands,0,""
LBP,Lebanon,120956.08807001574,CAD | EUR | GBP | LBP
LRD,Liberia,13730.89429142217,CAD | USD | SAR | LRD
LTC,Litecoin,0.4940679005441455,CAD | BTC | NANO | ADA | LTC
MXN,Mexico,1591.4149873040485,CAD | USD | MXN
NANO,Nano,15.33044454249455,CAD | BTC | NANO
NOK,Norway,687.8629818923743,CAD | EUR | GBP | NOK
NZD,New Zealand,111.27414092695133,CAD | EUR | NZD
PHP,Philippines,4026.243603525458,CAD | USD | CNY | HKD | PHP
SAR,Saudi Arabia,299.55816928771253,CAD | USD | SAR
SDG,Sudan,35411.58103541173,CAD | USD | SAR | SDG
SEK,Sweden,693.9289557483501,CAD | EUR | GBP | NOK | SEK
SGD,Singapore,104.77639544699005,CAD | USD | CNY | HKD | PHP | KRW | SGD
THB,Thailand,2572.088108780171,CAD | USD | CNY | HKD | PHP | KRW | SGD | THB
TND,Tunisia,224.67590098475762,CAD | USD | SAR | UYU | TND
TRY,Turkish New,683.1052215358693,CAD | EUR | GBP | NOK | SEK | TRY
TTD,Trinidad/Tobago,544.0504267220731,CAD | BRL | TTD
USD,USA,79.53981378717903,CAD | USD
UYU,Uruguay,3439.177570032089,CAD | USD | SAR | UYU
VND,Vietnam,1831778.9165865867,CAD | USD | CNY | HKD | VND
